ID,TITLE,title_length,word_count,has_year,contains_love
343,_me and orson welles,20,4,0,0
344,_howl,5,1,0,0
345,_les passages,13,2,0,0
345,_les passages,13,2,0,0
346,_zodiac,7,1,0,0
347,_burn after reading,19,3,0,0
348,_an englishman in new york,26,5,0,0
349,_brief interviews with hideous men,34,5,0,0
350,_YOUTHwithoutYOUTH,18,1,0,0
351,_INtheMEANTIME,14,1,0,0
352,_Men Who Stare At Goats,23,5,0,0
353,"_the scribe, 1966",17,3,1,0
354,_confessions of a shopaholic,28,4,0,0
355,_untitled Leni Riefenstahl Egg Pictures Project,47,6,0,0
356,_wild cherry,12,2,0,0
357,_Hollywood Renegade,19,2,0,0
358,_Blessed Is the Match: The Life and Death of Hannah Senesh,58,11,0,0
359,_Morning Glory,14,2,0,0
360,_eat PRAY love,14,3,0,1
361,_tetro,6,1,0,0
362,_the player,11,2,0,0
363,_the insider,12,2,0,0
364,_Szenen eines wüsten Lebens,27,4,0,0
365,_be cool,8,2,0,0
366,_empireOFtheSUN,15,1,0,0
367,_Hemingway & Fuentes,20,3,0,0
368,_Julie & Julia,14,3,0,0
369,_Atonement,10,1,0,0
370,_Mighty Mighty Aphrodite,24,3,0,0
371,_the limits of control,22,4,0,0
372,_Angels & Demons,16,3,0,0
373,_regarding bunuel,17,2,0,0
374,_the pillow book,16,3,0,0
375,_bram stoker’s dracula,22,3,0,0
376,_dracula (1931),15,2,1,0
377,_nosferatu (1922),17,2,1,0
378,_shadow of the vampire,22,4,0,0
379,_she wrote the book (1946),26,5,1,0
380,_he wrote poetry (1916),23,4,1,0
381,_walks,6,1,0,0
382,_she wrote a play and played it(1916),37,7,1,0
383,_creation,9,1,0,0
385,_the GIRLFRIEND experience,26,3,0,0
386,_Die Liebesfälscher,19,2,0,0
387,_son of morning,15,3,0,0
388,_The Gossip Columnist,21,3,0,0
389,_Brüno,6,1,0,0
390,_HurlyBurly,11,1,0,0
391,_PATTON,7,1,0,0
392,_IT RUNS IN THE FAMILY,22,5,0,0
393,_SOMEWHERE,10,1,0,0
394,_NICE,5,1,0,0
395,_Goree Girls,12,2,0,0
397,_The Last Sect,14,3,0,0
398,_cold souls,11,2,0,0
399,_crazy heart,12,2,0,0
400,_the green hornet,17,3,0,0
401,_Der Baader Meinhof Komplex,27,4,0,0
402,_Jud Süß,8,2,0,0
403,_2O Percent Fiction,19,3,0,0
404,_Der Poet,9,2,0,0
405,_Der Bestseller - Mord auf italienisch,38,6,0,0
406,_Der Bestseller - Wiener Blut,29,5,0,0
407,_Access Code,12,2,0,0
408,_Teenage Paparazzi,18,2,0,0
409,_Ed Wood,8,2,0,0
410,husbands and wives,18,3,0,0
411,_peep world,11,2,0,0
412,_deception 1946,15,2,1,0
413,_jealousy 1929,14,2,1,0
414,_new york i love you,20,5,0,1
